Name,Price,Url,Brand,Length (mm),Gauge (ring),Type
AVO Classic Puritos ,31.5,https://cognachuset.dk/shop/avo-classic-puritos-485p.html,Avo,102,30,Mini
XO Presto,59.0,https://cognachuset.dk/shop/avo-xo-presto-290p.html,Avo,100,40,Petit Panetela
tubos no. 3,66.0,https://cognachuset.dk/shop/bolivar-tubos-no-1258p.html,Bolivar,125,34,Placera
Royal Coronas,104.0,https://cognachuset.dk/shop/bolivar-royal-coronas-357p.html,Bolivar,124,50,Robusto
Connecticut,41.0,https://cognachuset.dk/shop/camacho-connecticut-machitos-1712p.html,Camacho,100,32,Machitos
Criollo,41.0,https://cognachuset.dk/shop/camacho-criollo-machitos-1710p.html,Camacho,100,32,Machitos
Corojo  Tubos - Red,99.0,https://cognachuset.dk/shop/camacho-corojo-robusto-1707p.html,Camacho,127,50,Robusto
Ecuador  Tubos - Blue,99.0,https://cognachuset.dk/shop/camacho-ecuador-robusto-1705p.html,Camacho,127,50,Robusto
American Barrel Aged Tubos,125.0,https://cognachuset.dk/shop/camacho-american-barrel-1754p.html,Camacho,127,50,Robusto
Triple Maduro  - Black,170.0,https://cognachuset.dk/shop/camacho-triple-maduro-1709p.html,Camacho,152,50,Toro
Diploma,184.0,https://cognachuset.dk/shop/camacho-diploma-robusto-1949p.html,Camacho,127,54,Robusto
Bella Vanilje Tubos,62.0,https://cognachuset.dk/shop/cao-bella-vanilje-1695p.html,CAO,127,50,Robusto
Colombia Vallenato,100.0,https://cognachuset.dk/shop/cao-colombia-vallenato-1692p.html,CAO,127,54,Robusto Gordo
Colombia Magdalena,110.0,https://cognachuset.dk/shop/cao-colombia-magdalena-1693p.html,CAO,159,54,Piramides
Pilon,115.0,https://cognachuset.dk/shop/cao-pilon-churchill-1698p.html,CAO,191,53,Churchill
Fuma em Corda,129.0,https://cognachuset.dk/shop/cao-fuma-em-1753p.html,CAO,152,58,Toro
Flathead 660 - Carb,130.0,https://cognachuset.dk/shop/cao-flathead-660-1701p.html,CAO,152,61,Double Toro
Flathead 770 - Big Block,165.0,https://cognachuset.dk/shop/cao-flathead-770-1702p.html,CAO,178,71,Gordo
Cellarmaster,65.0,https://cognachuset.dk/shop/cellarmaster-robusto-1544p.html,Cellarmaster Cigars,127,50,Robusto
Cellarmaster,99.0,https://cognachuset.dk/shop/cellarmaster-presidente-1546p.html,Cellarmaster Cigars,178,60,Presidente
mini 10 stk.,91.0,https://cognachuset.dk/shop/cohiba-mini-10-416p.html,Cohiba,80,18,Mini
s,102.0,https://cognachuset.dk/shop/cohiba-panetelas-1263p.html,Cohiba,115,26,Panetela
white 10 stk.,106.0,https://cognachuset.dk/shop/cohiba-club-white-1599p.html,Cohiba,98,24,Club
Exquisitos,118.0,https://cognachuset.dk/shop/cohiba-exquisitos-1109p.html,Cohiba,126,36,Short Panetela
Siglo No. II cigar,148.0,https://cognachuset.dk/shop/cohiba-siglo-no-779p.html,Cohiba,129,42,Corona
Medio Siglo,181.0,https://cognachuset.dk/shop/cohiba-medio-siglo-1918p.html,Cohiba,102,52,Petit Robusto
Coronas Especiales,200.0,https://cognachuset.dk/shop/cohiba-coronas-especiales-1259p.html,Cohiba,152,38,Laguito nr.2
cigar,223.0,https://cognachuset.dk/shop/cohiba-robusto-cigar-207p.html,Cohiba,124,50,Robusto
Siglo No. V cigar,268.0,https://cognachuset.dk/shop/cohiba-siglo-no-1265p.html,Cohiba,170,43,Dalias
Maduro 5,302.0,https://cognachuset.dk/shop/cohiba-maduro-5-1261p.html,Cohiba,140,52,Genios
