Name,Price,Url,Brand,Length (mm),Gauge (ring),Type
Royal Coronas,107.0,https://havnens-vin.dk/bolivar-royal-coronas.html,Bolivar,124,51,Unknown
Liberty 2012 ks. 20 stk.,3500.0,https://havnens-vin.dk/camacho-liberty-2012-ks-20-stk.html,Camacho,0,0,Unknown
Criollo Robusto Tubos,99.0,https://havnens-vin.dk/camacho-criollo-robusto-tubos-10.html,Camacho,0,0,Unknown
Corojo Robusto Tubos,99.0,https://havnens-vin.dk/catalog/product/view/id/1234/s/camacho-corojo-robusto-tubos-10-stk/category/178/,Camacho,0,0,Unknown
Hommage to Nicaragua Limited Gran Toro,105.0,https://havnens-vin.dk/cao-hommage-to-nicaragua.html,CAO,152,59,Unknown
Amazon Anaconda,128.0,https://havnens-vin.dk/cao-amazon-anaconda.html,CAO,0,0,Unknown
Fuma em Corda,128.0,https://havnens-vin.dk/cao-fuma-em-corda.html,CAO,0,0,Unknown
Bella Robusto Alu Tube,62.0,https://havnens-vin.dk/cao-bella-robusto-alu-tube.html,CAO,0,0,Unknown
Osa Sol Lot 58,105.0,https://havnens-vin.dk/cao-moontrance-3532.html,CAO,0,0,Unknown
Flathead Camshaft 554,110.0,https://havnens-vin.dk/cao-flathead-camshaft.html,CAO,140,53,Unknown
Short 10 stk.,135.0,https://havnens-vin.dk/cohiba-short.html,Cohiba,0,0,Unknown
Mini,79.0,https://havnens-vin.dk/cohiba-mini.html,Cohiba,0,0,Unknown
Club 10 stk.,91.0,https://havnens-vin.dk/cohiba-club-10-stk.html,Cohiba,0,0,Unknown
Siglo IV,212.0,https://havnens-vin.dk/cohiba-siglo-vi.html,Cohiba,143,117,Unknown
Siglo III,187.0,https://havnens-vin.dk/cobiba-siglo-iii.html,Cohiba,155,41,Unknown
Siglo II,151.0,https://havnens-vin.dk/cohiba-siglo-ii.html,Cohiba,129,41,Unknown
Siglo I,113.0,https://havnens-vin.dk/cohiba-siglo-i.html,Cohiba,102,41,Unknown
Robustos,227.0,https://havnens-vin.dk/cohiba-robustos.html,Cohiba,124,51,Unknown
Primeros Nicaragua 6 stk,348.0,https://havnens-vin.dk/davidoff-primeros-nicaragua-6-stk.html,Davidoff,0,0,Unknown
Mini Cigarillos Gold 20 stk.,230.0,https://havnens-vin.dk/davidoff-mini-cigarillos-gold-20-stk.html,Davidoff,0,0,Unknown
Signature 2000 (tidl.  Mille 2000) Tubos,160.0,https://havnens-vin.dk/davidoff-signature-2000-tidl-davidoff-mille-2000-tubos.html,Davidoff,0,0,Unknown
Special R Tubos,229.0,https://havnens-vin.dk/davidoff-special-r-tubos.html,Davidoff,0,0,Unknown
Winston Churchill The Raconteur Cello 5 stk.,380.0,https://havnens-vin.dk/davidoff-classic-no-2-tubos-4-stk.html,Davidoff,0,0,Unknown
C'llos Demi-Tasse 10 pcs,230.0,https://havnens-vin.dk/davidoff-c-llos-demi-tasse-10-pcs.html,Davidoff,0,0,Unknown
Special Entreacto Cello 4 pcs,396.0,https://havnens-vin.dk/davidoff-special-entreacto-cello.html,Davidoff,89,43,Unknown
Nicaragua Toro 10 stk.,979.0,https://havnens-vin.dk/don-tomas-nicaragua-toro-10-stk.html,Don Tomás ,0,0,Unknown
Clàsico Lindos,50.0,https://havnens-vin.dk/don-tomas-clasico-lindos.html,Don Tomás ,0,0,Unknown
Clàsico Allegro Tubos,79.0,https://havnens-vin.dk/don-tomas-clasico-allegro-tubos.html,Don Tomás ,0,0,Unknown
Delicias,38.0,https://havnens-vin.dk/fonseca-delicias.html,Fonseca,123,41,Unknown
Griffin's Robusto Tubos,115.0,https://havnens-vin.dk/griffin-s-robusto-tubos.html,Griffins,0,0,Unknown
Majestic 25 stk.,1162.0,https://havnens-vin.dk/h-upmann-majestic-25-stk.html,H. Upmann,0,0,Unknown
Half Corona,48.0,https://havnens-vin.dk/h-upmann-half-corona.html,H. Upmann,90,112,Unknown
Hoyo De Monterray Palmas Extra,51.0,https://havnens-vin.dk/hoyo-de-monterray-palmas-extra.html,Hoyo de Monterrey,0,0,Unknown
Epicure No. 2,116.0,https://havnens-vin.dk/hoyo-de-monterrey-epicure-no-2.html,Hoyo de Monterrey,124,127,Unknown
Coronations,68.0,https://havnens-vin.dk/hoyo-de-monterrey-coronations.html,Hoyo de Monterrey,129,107,Unknown
Gran Reserva limited edition 2020 - 8 stk.,960.0,https://havnens-vin.dk/macanudo-gran-reserva-limited-edition-2020-8-stk.html,Macanudo,0,0,Unknown
Café Crystal 8 stk,999.0,https://havnens-vin.dk/macanudo-montego-y-cia-crystal-8-stk.html,Macanudo,0,0,Unknown
Inspirado Black Cañonazo,143.0,https://havnens-vin.dk/camacho-powerband-5472.html,Macanudo,146,53,Unknown
Inspirado Red Robusto,90.0,https://havnens-vin.dk/macanudo-inspirado-red-robusto.html,Macanudo,0,0,Unknown
Cafe Crystal Tubos,125.0,https://havnens-vin.dk/macanudo-1968-robusto.html,Macanudo,0,0,Unknown
Café Ascots 10 stk. i metalæske,230.0,https://havnens-vin.dk/macanudo-maduro-hampton-court-tubos-3470.html,Macanudo,0,0,Unknown
Inspirado Black Robusto,90.0,https://havnens-vin.dk/macanudo-inspirado-black-robusto.html,Macanudo,0,0,Unknown
Inspirado Petit Piramides,90.0,https://havnens-vin.dk/macanudo-inspirado-petit-piramides.html,Macanudo,114,53,Unknown
Mini 10stk.,69.0,https://havnens-vin.dk/montecristo-mini-10stk.html,Montecristo,0,0,Unknown
Tubos,154.0,https://havnens-vin.dk/montecristo-tubos-2050.html,Montecristo,155,107,Unknown
Open Eagle (Tubos),182.0,https://havnens-vin.dk/montecristo-open-eagle-tubos.html,Montecristo,150,137,Unknown
Petit Tubos,108.0,https://havnens-vin.dk/montecristo-petit-tubos-2048.html,Montecristo,129,107,Unknown
